,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
4371,2017_HS3604000007,2017_HH11360013,3,2,1,1,6,1,5,82.5,4,1,1,6,2,1,3,2,3,4,3,17607.59
4372,2017_HS3604000008,2017_HH11360014,3,2,1,1,6,1,4,181.5,4,1,2,8,2,1,3,2,3,3,3,11244.05
4373,2017_HS3604000009,2017_HH11360015,3,2,1,1,6,1,5,108.9,4,1,1,5,2,3,3,2,3,3,3,12819.39
4374,2017_HS3604000010,2017_HH17360015,3,2,1,1,4,1,6,82.5,3,1,1,7,2,1,5,1,3,3,5,5927.3449295
4375,2017_HS3604000011,2017_HH17360016,3,2,1,1,6,1,2,72.6,2,1,1,8,2,1,3,2,3,3,2,8942.6
4376,2017_HS3604000012,2017_HH17360017,3,2,1,1,6,4,2,66.0,3,1,1,8,2,1,3,1,3,3,2,9907.33
4377,2017_HS3604000013,2017_HH17360018,3,2,1,1,6,1,4,66.0,3,1,1,3,2,3,3,2,3,3,3,10001.41
4378,2017_HS3606000004,2017_HH13360003,3,2,1,1,6,2,3,33.0,1,1,1,4,2,1,3,2,2,1,2,9716.49
4379,2017_HS3606000005,2017_HH11360004,3,2,1,1,6,3,1,39.6,2,1,1,3,1,1,3,2,3,2,1,7853.36
4380,2017_HS3606000006,2017_HH11360005,3,2,1,1,6,4,1,66.0,2,1,1,8,1,1,3,1,2,1,2,4506.88
4381,2017_HS3606000007,2017_HH14360006,3,2,1,1,6,2,1,49.5,1,1,1,6,1,3,3,1,3,5,1,8865.03
4382,2017_HS3606000009,2017_HH11360006,3,2,1,1,6,4,2,112.2,4,1,2,5,1,3,3,6,2,3,5,7930.1
4383,2017_HS3606000010,2017_HH11360007,3,2,1,1,6,4,1,46.2,1,1,1,3,1,1,3,2,3,2,1,6367.85
4384,2017_HS3631000001,2017_HH17360019,3,2,3,7,4,1,4,105.6,3,1,1,8,1,1,4,2,2,1,6,8481.7609375
4385,2017_HS3631000002,2017_HH17360020,3,2,1,1,6,1,1,148.5,5,1,1,12,1,3,4,1,3,5,1,10545.442654999999
4386,2017_HS3631000003,2017_HH17360021,3,2,2,2,4,1,4,99.0,3,1,1,5,1,3,5,3,2,1,2,6865.467955
4387,2017_HS3631000004,2017_HH17360022,3,2,1,1,4,2,2,66.0,3,1,1,8,2,1,3,1,3,5,2,7582.28
4388,2017_HS3631000006,2017_HH17360024,3,2,1,1,5,1,6,122.1,3,1,2,6,1,3,3,2,3,5,3,6461.74
4389,2017_HS3632000001,2017_HH12360001,3,2,1,1,5,4,4,122.1,3,1,1,12,2,3,3,3,3,3,5,11595.9
4390,2017_HS3632000002,2017_HH12360002,3,2,1,1,5,4,3,59.4,2,1,1,5,2,1,3,4,2,1,4,9095.95
4391,2017_HS3632000005,2017_HH12360004,3,2,1,2,4,2,3,105.6,3,1,1,4,2,3,3,2,3,3,3,11422.17
4392,2017_HS3635000001,2017_HH17360026,3,2,3,1,5,1,4,122.1,3,1,1,8,1,3,4,2,2,2,3,6693.619087
4393,2017_HS3635000003,2017_HH17360027,3,2,3,5,4,1,4,102.3,3,1,1,8,1,3,4,2,3,1,2,6156.6493253
4394,2017_HS3635000004,2017_HH14360003,3,2,3,6,4,1,4,122.1,3,1,1,8,1,3,4,2,2,2,4,5094.8556745
4395,2017_HS3635000005,2017_HH14360004,3,2,3,7,4,1,4,122.1,3,1,1,8,1,1,4,2,2,1,4,5844.6227739
4396,2017_HS3635000006,2017_HH14360005,3,2,3,8,4,1,4,122.1,3,1,1,8,1,3,4,2,3,2,4,4845.1496308
4397,2017_HS3635000007,2017_HH17360028,3,2,3,11,4,2,4,125.4,3,1,2,18,1,3,3,3,2,1,7,8029.53
4398,2017_HS3635000008,2017_HH17360029,3,2,3,9,4,2,4,125.4,3,1,2,18,1,3,3,3,2,1,5,7801.54
4399,2017_HS3636000001,2017_HH12360005,3,2,1,1,5,1,1,66.0,3,1,1,8,2,1,3,3,2,3,4,7923.98
4400,2017_HS3636000002,2017_HH13360009,3,2,1,1,6,2,2,46.2,2,1,1,8,2,1,3,2,2,2,3,11712.44
4401,2017_HS3636000003,2017_HH12360006,3,2,1,1,5,2,5,46.2,2,0,0,7,2,1,3,1,3,5,1,4774.3
4402,2017_HS3636000004,2017_HH13360010,3,2,1,1,6,2,1,33.0,2,1,1,4,2,3,3,2,2,2,3,10065.47
4403,2017_HS3636000005,2017_HH12360007,3,2,2,1,5,2,1,42.9,2,1,1,7,2,1,3,2,2,1,3,10711.85
4404,2017_HS3636000006,2017_HH12360008,3,2,2,1,5,2,1,33.0,1,0,1,5,2,3,3,2,3,3,5,11601.159182
4405,2017_HS3636000007,2017_HH12360009,3,2,1,1,5,3,4,49.5,2,0,1,6,2,1,3,2,3,4,4,10019.45
4406,2017_HS3636000008,2017_HH12360010,3,2,1,1,5,1,1,66.0,3,1,1,8,2,1,3,4,2,4,5,5874.2600435
4407,2017_HS3636000009,2017_HH13360011,3,2,1,1,6,1,2,49.5,3,1,1,3,2,1,3,2,2,1,5,8577.8
4408,2017_HS3636000010,2017_HH12360011,3,2,1,1,5,1,1,42.9,2,0,1,3,2,1,3,2,3,4,3,11613.62
4409,2017_HS3636000011,2017_HH12360012,3,2,1,1,5,1,1,62.7,3,1,1,8,2,1,3,4,2,3,4,11553.77
