,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_hus_age,num_tot_energy_heat
1644,HH17330020,HS3337000014,2,2,1,1,6,1,1973,49.5,2,1,12,2,3,3,1,2,2,1,46,8510.3
1645,HH13340042,HS3401100001,2,2,2,1,5,1,1990,75.9,3,1,10,1,3,4,5,2,3,3,29,16356.27
1646,HH16340017,HS3401100002,2,2,2,2,2,1,1990,75.9,3,1,13,1,3,4,1,3,2,2,29,5623.8
1647,HH16340018,HS3401100003,2,2,3,2,2,1,1986,79.2,2,1,8,1,1,4,5,2,3,4,33,10522.79
1648,HH16340019,HS3401100004,2,2,2,3,2,4,1986,79.2,3,1,12,1,1,4,2,2,1,3,33,9277.7
1649,HH16340021,HS3401100006,2,2,3,5,4,1,1986,79.2,3,1,8,1,1,4,2,3,3,1,33,9010.16
1650,HH16340022,HS3401100007,2,2,3,2,2,1,1986,95.7,3,1,12,1,3,4,2,3,3,2,33,5405.1
1651,HH16340023,HS3401100010,2,2,3,13,2,1,1998,56.1,1,1,4,1,1,4,3,2,2,3,21,9260.54
1652,HH16340024,HS3401100011,2,2,3,2,2,1,1998,56.1,1,1,7,1,1,4,3,2,1,4,21,10598.24
1653,HH16340025,HS3401100012,2,2,3,3,2,1,1998,56.1,1,1,7,1,3,4,2,2,1,4,21,12131.45
1654,HH16340026,HS3401100013,2,2,3,3,2,1,1998,56.1,1,1,8,1,3,4,1,3,1,5,21,8190.38
1655,HH16340029,HS3401100016,2,2,3,11,2,3,1995,79.2,2,1,8,1,1,4,3,2,1,5,24,3005.84
1656,HH16340031,HS3401100018,2,2,3,3,2,3,1995,79.2,2,1,7,1,3,4,2,2,1,5,24,10450.55787
1657,HH16340032,HS3401100019,2,2,3,6,2,1,1995,79.2,3,1,14,1,3,4,4,2,1,4,24,10441.68
1658,HH16340033,HS3401100020,2,2,3,12,2,3,1995,79.2,3,1,14,1,3,4,2,3,5,2,24,4291.39
1659,HH13340045,HS3401100022,2,2,1,1,6,1,2012,75.9,2,1,3,2,1,3,2,2,1,3,7,12283.3
1660,HH16340028,HS3401100025,2,2,3,2,2,1,1998,56.1,2,1,9,1,1,4,3,2,2,4,21,8097.77
1661,HH17340001,HS3401100026,2,2,3,4,3,3,1995,79.2,3,1,14,1,1,4,4,2,1,4,24,11222.51
1662,HH18340014,HS3401100028,2,2,3,3,2,1,1998,56.1,1,1,7,1,3,4,2,2,1,6,21,8509.37
1663,HH18340002,HS3401100029,2,2,3,9,2,4,2004,115.5,3,1,6,1,3,4,2,2,1,5,15,11813.56
1664,HH18340004,HS3401100030,2,2,1,2,4,1,1993,92.4,3,1,5,4,3,3,3,2,1,6,26,15279.62
